,origin,destination,flow,cost,O,D,log_O,log_D,log_cost,log_flow,spline_0,spline_1,spline_2,spline_3,spline_4,spline_5,spline_6,spline_7,spline_8
60633,8743accd0ffffff,8743acc8bffffff,11,4.5310490201131595,91,705,4.51085950651685,6.558197802812269,8.418929438530961,2.4849066497880004,0.32549628652134954,0.5496463152709878,0.12403236328893048,0.0,0.0,0.0,0.0,0.0,0.0
60634,8743accd0ffffff,8743acc8cffffff,1,8.223743167779043,91,443,4.51085950651685,6.093569770045136,9.014902349344098,0.6931471805599453,0.011208494419097586,0.38124096292443393,0.5628801221443966,0.044670420512071825,0.0,0.0,0.0,0.0,0.0
60635,8743accd0ffffff,8743acc8dffffff,5,6.371796699812216,91,1392,4.51085950651685,7.238496840894365,8.75979369457202,1.791759469228055,0.09552231469454261,0.5698787794813831,0.33115692855601087,0.003441977268063747,0.0,0.0,0.0,0.0,0.0
60636,8743accd0ffffff,8743acc8effffff,10,8.342230155994669,91,2165,4.51085950651685,7.68017564043659,9.029205729240335,2.3978952727983707,0.009111769007676535,0.3661468738298238,0.5749621704542813,0.04977918670821839,0.0,0.0,0.0,0.0,0.0
60638,8743accd0ffffff,8743acc91ffffff,4,13.585376409462977,91,3928,4.51085950651685,8.275885669474356,9.516822835054407,1.6094379124341003,0.0,0.003774517342779433,0.3368286717501078,0.5979438225788507,0.06145298832826213,0.0,0.0,0.0,0.0
60642,8743accd0ffffff,8743acc95ffffff,3,15.013296920918934,91,873,4.51085950651685,6.771935555839602,9.616758154207476,1.3862943611198906,0.0,0.0,0.16534050760222052,0.6666596037464433,0.167999885516665,3.1346712030710274e-09,0.0,0.0,0.0
60644,8743accd0ffffff,8743acc98ffffff,4,10.250236915391724,91,887,4.51085950651685,6.787844982309579,9.235153651958315,1.6094379124341003,0.0,0.14287445278566163,0.6642246039686598,0.1928800506273507,2.089261832789765e-05,0.0,0.0,0.0,0.0
60649,8743accd0ffffff,8743acc9dffffff,2,9.059508607524386,91,2225,4.51085950651685,7.707512194600341,9.111680535157213,1.0986122886681098,0.001663774528457454,0.2745241465342418,0.6346132533507528,0.08919882558654799,0.0,0.0,0.0,0.0,0.0
60650,8743accd0ffffff,8743acc9effffff,1,12.474639745594034,91,2288,4.51085950651685,7.7354333524996886,9.431533201516778,0.6931471805599453,0.0,0.02147379286552784,0.48233020180134695,0.47599026868191563,0.020205736651209533,0.0,0.0,0.0,0.0
60661,8743accd0ffffff,8743accabffffff,1,8.728940744142761,91,284,4.51085950651685,5.648974238161206,9.074513861198099,0.6931471805599453,0.0041070253948249005,0.3165013656358063,0.6102570521803021,0.06913455678906667,0.0,0.0,0.0,0.0,0.0
60663,8743accd0ffffff,8743accadffffff,1,12.202209574582819,91,60,4.51085950651685,4.0943445622221,9.409454276005741,0.6931471805599453,0.0,0.029200095740894813,0.5153980472768215,0.44116170330710897,0.014240153675174772,0.0,0.0,0.0,0.0
60668,8743accd0ffffff,8743accb3ffffff,1,16.677099508750235,91,619,4.51085950651685,6.428105272684596,9.721851731096947,0.6931471805599453,0.0,0.0,0.04892048392084873,0.5730286175240555,0.37176141143929564,0.00628948711580003,0.0,0.0,0.0
60676,8743accd0ffffff,8743accd6ffffff,10,2.2658480415847064,91,992,4.51085950651685,6.899723107284872,7.726145617640985,2.3978952727983707,0.5982389326186843,0.22273525359119986,0.015510688593090027,0.0,0.0,0.0,0.0,0.0,0.0
60677,8743accd0ffffff,8743accf2ffffff,1,4.8810609039079615,91,226,4.51085950651685,5.420534999272286,8.493322726071314,0.6931471805599453,0.2682417036499758,0.5766913919680225,0.15505344379845562,0.0,0.0,0.0,0.0,0.0,0.0
60852,8743accd2ffffff,8743ac506ffffff,1,9.171935044270043,251,43,5.5254529391317835,3.7612001156935624,9.12401258429741,0.6931471805599453,0.001135594320616767,0.2605372735763844,0.6415101924715781,0.09681693963142092,0.0,0.0,0.0,0.0,0.0
60853,8743accd2ffffff,8743ac50cffffff,1,8.78051250903742,251,10,5.5254529391317835,2.302585092994046,9.080403939336938,0.6931471805599453,0.0036271210117345453,0.3098951282144949,0.6144349190655675,0.07204283170820315,0.0,0.0,0.0,0.0,0.0
60857,8743accd2ffffff,8743ac521ffffff,15,2.2938866974499104,251,325,5.5254529391317835,5.783825182329737,7.73843875197307,2.772588722239781,0.5981704593584358,0.22719988095692872,0.016093652706787396,0.0,0.0,0.0,0.0,0.0,0.0
60859,8743accd2ffffff,8743ac523ffffff,3,4.587171675385561,251,40,5.5254529391317835,3.6888794541139363,8.431236895898289,1.3862943611198906,0.31605206485607795,0.5546865085198548,0.12869856913594907,0.0,0.0,0.0,0.0,0.0,0.0
60860,8743accd2ffffff,8743ac524ffffff,1,4.530175369657916,251,85,5.5254529391317835,4.442651256490317,8.418736648322891,0.6931471805599453,0.3256438544871885,0.5495658593755907,0.12396063153013155,0.0,0.0,0.0,0.0,0.0,0.0
60861,8743accd2ffffff,8743ac525ffffff,2,2.2654112354728553,251,99,5.5254529391317835,4.59511985013459,7.725952905913504,1.0986122886681098,0.5982389489585199,0.22266582419982564,0.015501719954286047,0.0,0.0,0.0,0.0,0.0,0.0
60862,8743accd2ffffff,8743ac526ffffff,1,5.886624880454797,251,31,5.5254529391317835,3.4339872044851463,8.680607949217308,0.6931471805599453,0.13919542013082375,0.5916119624644685,0.26826331196457376,0.0009293054401341095,0.0,0.0,0.0,0.0,0.0
60863,8743accd2ffffff,8743ac528ffffff,3,4.8806793630084755,251,15,5.5254529391317835,2.70805020110221,8.49324457141147,1.3862943611198906,0.26830143453809596,0.5766678887571035,0.15501708616594648,0.0,0.0,0.0,0.0,0.0,0.0
60864,8743accd2ffffff,8743ac529ffffff,2,6.373180109633593,251,22,5.5254529391317835,3.091042453358316,8.760010751502065,1.0986122886681098,0.09541309027915192,0.5697945620617675,0.3313399465386747,0.0034524011204059473,0.0,0.0,0.0,0.0,0.0
60866,8743accd2ffffff,8743ac52cffffff,12,2.4403115496460948,251,255,5.5254529391317835,5.541263545158426,7.800290694221694,2.5649493574615367,0.5957181364174782,0.250736666492855,0.01937646564860227,0.0,0.0,0.0,0.0,0.0,0.0
60878,8743accd2ffffff,8743acc80ffffff,16,12.332180097677329,251,1866,5.5254529391317835,7.531552381407289,9.420048478368418,2.833213344056216,0.0,0.0253167679530373,0.49984361366440094,0.45792644927662063,0.016913169105941192,0.0,0.0,0.0,0.0
60879,8743accd2ffffff,8743acc81ffffff,3,10.440805016307298,251,692,5.5254529391317835,6.539585955617669,9.253572740774445,1.3862943611198906,0.0,0.1263581430714096,0.6592369138082822,0.21429073990774752,0.00011420321256083606,0.0,0.0,0.0,0.0
60880,8743accd2ffffff,8743acc82ffffff,3,12.344114173718795,251,1086,5.5254529391317835,6.990256500493881,9.421015650316406,1.3862943611198906,0.0,0.024978533680722968,0.49839423869744626,0.45945308681917973,0.017174140802651186,0.0,0.0,0.0,0.0
60881,8743accd2ffffff,8743acc83ffffff,3,10.241017014127518,251,1860,5.5254529391317835,7.528331766707247,9.23425385323255,1.3862943611198906,0.0,0.14370808196149118,0.6643991005659167,0.1918741501581897,1.8667314402560646e-05,0.0,0.0,0.0,0.0
60885,8743accd2ffffff,8743acc88ffffff,15,6.371063480144378,251,1389,5.5254529391317835,7.236339342754344,8.75967863333819,2.772588722239781,0.09558023840147031,0.5699233676849682,0.3310599328639339,0.003436461049627609,0.0,0.0,0.0,0.0,0.0
60886,8743accd2ffffff,8743acc89ffffff,4,4.880451451881657,251,757,5.5254529391317835,6.6293632534374485,8.49319788328833,1.6094379124341003,0.26833711789065734,0.5766538426769805,0.15499537086789933,0.0,0.0,0.0,0.0,0.0,0.0
60887,8743accd2ffffff,8743acc8affffff,6,6.173896344871458,251,874,5.5254529391317835,6.773080375655535,8.728247375099652,1.9459101490553132,0.11202119219293286,0.5806756339917707,0.30514628386101267,0.0021568899542836967,0.0,0.0,0.0,0.0,0.0
60888,8743accd2ffffff,8743acc8bffffff,18,4.112000549314853,251,705,5.5254529391317835,6.558197802812269,8.321908101786178,2.9444389791664403,0.3970530475199496,0.5046411985767294,0.09270394772312912,0.0,0.0,0.0,0.0,0.0,0.0
60889,8743accd2ffffff,8743acc8cffffff,2,8.72793965042731,251,443,5.5254529391317835,6.093569770045136,9.07439918102458,1.0986122886681098,0.004116737191654846,0.31662973216917434,0.6101746397317767,0.06907889090739432,0.0,0.0,0.0,0.0,0.0
60890,8743accd2ffffff,8743acc8dffffff,6,7.320589926234158,251,1392,5.5254529391317835,7.238496840894365,8.898582786407646,1.9459101490553132,0.03847224707853253,0.4884238643946325,0.4564416270878167,0.016662261439018278,0.0,0.0,0.0,0.0,0.0
60891,8743accd2ffffff,8743acc8effffff,32,8.222728191929095,251,2165,5.5254529391317835,7.68017564043659,9.014778936556484,3.4965075614664802,0.011227719431112334,0.38136973706310084,0.5627743023383464,0.04462824116744042,0.0,0.0,0.0,0.0,0.0
60893,8743accd2ffffff,8743acc91ffffff,32,12.774301038806621,251,3928,5.5254529391317835,8.275885669474356,9.455268979475798,3.4965075614664802,0.0,0.01470069969421992,0.44420918102049045,0.512619331115035,0.028470788170254575,0.0,0.0,0.0,0.0
60897,8743accd2ffffff,8743acc95ffffff,2,14.494848225209733,251,873,5.5254529391317835,6.771935555839602,9.581617558112725,1.0986122886681098,0.0,0.00017187170533343219,0.22176979534116825,0.6569751491597168,0.12108318379378168,0.0,0.0,0.0,0.0
60899,8743accd2ffffff,8743acc98ffffff,2,9.05776115533663,251,887,5.5254529391317835,6.787844982309579,9.111487651865993,1.0986122886681098,0.001673065751390813,0.27474301185427635,0.6345002365537458,0.08908368584058703,0.0,0.0,0.0,0.0,0.0
60903,8743accd2ffffff,8743acc9cffffff,1,10.548123536842077,251,1779,5.5254529391317835,7.483806687665835,9.26379805837654,0.6931471805599453,0.0,0.11764353066471099,0.6553078018527161,0.22682909693201966,0.0002195705505533549,0.0,0.0,0.0,0.0
60904,8743accd2ffffff,8743acc9dffffff,21,8.340946255039478,251,2225,5.5254529391317835,7.707512194600341,9.029051832041276,3.091042453358316,0.009132955914154786,0.3663109972697084,0.574834205348275,0.049721841467861946,0.0,0.0,0.0,0.0,0.0
