hh_id,vehicle_id,vehicle_num,year,fuel_type,hh_weight
22054001,2205400101,1,2011,1,1156.897675
22054081,2205408101,1,2013,1,305.1839293
22054081,2205408102,2,2018,1,305.1839293
22054155,2205415501,1,2017,1,886.5370468
22054203,2205420301,1,2014,2,2740.450328
22054206,2205420601,1,2001,1,4656.793019
22054498,2205449801,1,2003,1,3665.609298
22055239,2205523901,1,2015,1,408.0539577
22055397,2205539701,1,2016,1,3142.687276
22055397,2205539702,2,2012,1,3142.687276
22055397,2205539703,3,2015,1,3142.687276
22055522,2205552201,1,2013,1,4718.499825
22055577,2205557701,1,2018,1,221.8968079
22055682,2205568201,1,2010,1,1319.644376
22055682,2205568202,2,2019,1,1319.644376
22055798,2205579801,1,2010,1,1068.000934
22056393,2205639301,1,2010,1,557.0769788
22056412,2205641201,1,2016,1,1494.532714
22056412,2205641202,2,2020,1,1494.532714
22056688,2205668801,1,2012,7,2118.780097
22056839,2205683901,1,2017,1,225.2177185
22057034,2205703401,1,2018,1,1496.005024
22057126,2205712601,1,2014,1,2648.632974
22057346,2205734601,1,2015,5,180.650998
22057424,2205742401,1,2007,1,6786.482313
22057424,2205742402,2,2017,1,6786.482313
22057775,2205777501,1,2006,1,527.0101243
22057860,2205786001,1,2017,1,2005.32348
22057861,2205786101,1,2012,1,2601.810956
22057900,2205790001,1,2019,1,5015.03184
22058861,2205886101,1,2018,1,6579.896619
22058884,2205888401,1,2004,1,1402.785324
22059132,2205913201,1,2006,1,1525.210338
22059132,2205913202,2,2004,1,1525.210338
22059363,2205936301,1,1998,1,672.5257459
22059662,2205966201,1,2013,1,2960.121803
22059662,2205966202,2,2019,1,2960.121803
22059778,2205977801,1,2004,1,2318.975043
22059835,2205983501,1,1997,1,1194.786464
22059873,2205987301,1,2003,1,3388.54971
22059873,2205987302,2,2019,1,3388.54971
22060059,2206005901,1,2019,1,1404.117294
22060065,2206006501,1,2020,1,457.1289783
22060211,2206021101,1,2022,1,1344.460453
22060260,2206026001,1,2012,1,972.5239623
22060260,2206026002,2,2015,1,972.5239623
22060277,2206027701,1,2019,1,1493.501321
22060312,2206031201,1,2016,1,485.3652279
22060312,2206031202,2,2016,1,485.3652279
22060449,2206044901,1,2015,1,2024.932476
22060474,2206047401,1,2020,1,1884.604501
22060525,2206052501,1,2011,1,4528.208738
22060575,2206057501,1,2010,1,2117.200366
22060575,2206057502,2,2020,1,2117.200366
22060634,2206063401,1,2019,1,2011.518959
22060740,2206074001,1,2005,1,1349.119699
